"child_id","school_type","day","time","critical_event","days_since_event","parent_inv_1","parent_inv_2","parent_inv_3","parent_overload_1","parent_overload_2","parent_overload_3","child_selfefficacy_1","child_selfefficacy_2","child_selfefficacy_3","child_selfesteem_1","child_selfesteem_2","child_selfesteem_3"
3,"Gymnasium",7,6,0,0,5,3,7,2,4,6,3,3,2,3,3,5
3,"Gymnasium",8,7,0,0,5,3,7,2,4,6,3,1,5,3,3,4
3,"Gymnasium",9,8,0,0,5,3,7,2,4,6,2,2,4,2,2,4
3,"Gymnasium",10,9,0,0,5,3,7,2,4,6,5,3,4,4,2,4
3,"Gymnasium",11,10,1,0,5,3,7,2,4,6,4,3,1,2,2,2
3,"Gymnasium",12,11,1,1,5,3,7,2,4,6,1,2,3,5,4,4
3,"Gymnasium",13,12,1,2,5,3,7,2,4,6,4,2,4,5,4,5
3,"Gymnasium",14,13,1,3,5,3,7,2,4,6,3,5,4,4,4,4
3,"Gymnasium",15,14,1,4,5,3,7,2,4,6,5,4,5,4,6,6
3,"Gymnasium",16,15,1,5,5,3,7,2,4,6,6,7,4,5,5,6
3,"Gymnasium",17,16,1,6,5,3,7,2,4,6,6,6,4,6,6,4
3,"Gymnasium",18,17,1,7,5,3,7,2,4,6,6,6,7,3,5,5
3,"Gymnasium",19,18,1,8,5,3,7,2,4,6,5,6,6,5,7,5
3,"Gymnasium",20,19,1,9,5,3,7,2,4,6,7,6,7,6,7,7
4,"Gymnasium",1,0,0,0,3,5,6,6,6,4,7,7,7,7,7,7
4,"Gymnasium",2,1,0,0,3,5,6,6,6,4,7,7,7,7,6,6
4,"Gymnasium",3,2,0,0,3,5,6,6,6,4,7,7,7,7,7,7
4,"Gymnasium",4,3,0,0,3,5,6,6,6,4,7,7,7,7,7,7
4,"Gymnasium",5,4,0,0,3,5,6,6,6,4,7,7,7,7,6,7
4,"Gymnasium",6,5,0,0,3,5,6,6,6,4,7,7,6,7,6,7
4,"Gymnasium",8,7,0,0,3,5,6,6,6,4,6,7,7,7,7,5
4,"Gymnasium",9,8,0,0,3,5,6,6,6,4,6,5,7,4,4,6
4,"Gymnasium",10,9,0,0,3,5,6,6,6,4,7,7,6,4,6,5
4,"Gymnasium",11,10,1,0,3,5,6,6,6,4,6,4,4,3,4,6
4,"Gymnasium",12,11,1,1,3,5,6,6,6,4,3,2,3,2,5,6
4,"Gymnasium",14,13,1,3,3,5,6,6,6,4,3,3,2,2,2,2
4,"Gymnasium",15,14,1,4,3,5,6,6,6,4,2,4,2,1,3,3
4,"Gymnasium",16,15,1,5,3,5,6,6,6,4,2,3,3,2,1,3
4,"Gymnasium",17,16,1,6,3,5,6,6,6,4,3,1,1,2,4,5
4,"Gymnasium",19,18,1,8,3,5,6,6,6,4,1,1,2,2,2,2
4,"Gymnasium",20,19,1,9,3,5,6,6,6,4,1,1,1,1,2,2
4,"Gymnasium",21,20,1,10,3,5,6,6,6,4,1,1,2,2,4,1
5,"Gymnasium",1,0,0,0,5,4,5,4,4,7,7,7,7,6,4,6
5,"Gymnasium",2,1,0,0,5,4,5,4,4,7,7,7,7,5,7,6
5,"Gymnasium",3,2,0,0,5,4,5,4,4,7,7,7,7,6,6,6
5,"Gymnasium",4,3,0,0,5,4,5,4,4,7,7,6,4,7,6,6
5,"Gymnasium",5,4,0,0,5,4,5,4,4,7,7,6,7,5,6,6
5,"Gymnasium",6,5,0,0,5,4,5,4,4,7,7,7,7,6,5,6
5,"Gymnasium",7,6,0,0,5,4,5,4,4,7,7,7,7,7,6,4
6,"Gymnasium",1,0,0,0,7,6,6,4,5,1,4,3,3,2,6,5
6,"Gymnasium",2,1,0,0,7,6,6,4,5,1,4,5,4,3,4,6
6,"Gymnasium",3,2,0,0,7,6,6,4,5,1,2,3,2,2,4,2
6,"Gymnasium",4,3,0,0,7,6,6,4,5,1,1,1,3,2,4,4
6,"Gymnasium",5,4,0,0,7,6,6,4,5,1,1,1,2,3,2,4
6,"Gymnasium",6,5,0,0,7,6,6,4,5,1,2,3,4,1,2,2
6,"Gymnasium",7,6,0,0,7,6,6,4,5,1,2,1,2,2,3,4
6,"Gymnasium",8,7,0,0,7,6,6,4,5,1,1,1,1,1,4,1
6,"Gymnasium",9,8,0,0,7,6,6,4,5,1,1,1,4,1,1,6
6,"Gymnasium",10,9,0,0,7,6,6,4,5,1,1,1,4,1,2,2
6,"Gymnasium",11,10,1,0,7,6,6,4,5,1,1,1,3,2,1,1
6,"Gymnasium",12,11,1,1,7,6,6,4,5,1,1,1,1,1,1,2
6,"Gymnasium",13,12,1,2,7,6,6,4,5,1,1,1,1,1,1,1
6,"Gymnasium",14,13,1,3,7,6,6,4,5,1,1,1,2,1,1,1
6,"Gymnasium",15,14,1,4,7,6,6,4,5,1,1,1,1,1,1,1
6,"Gymnasium",16,15,1,5,7,6,6,4,5,1,1,1,1,1,1,1
6,"Gymnasium",17,16,1,6,7,6,6,4,5,1,1,1,1,1,1,1
6,"Gymnasium",18,17,1,7,7,6,6,4,5,1,1,1,1,1,1,1
6,"Gymnasium",19,18,1,8,7,6,6,4,5,1,1,1,1,1,1,1
6,"Gymnasium",20,19,1,9,7,6,6,4,5,1,1,1,1,1,1,1
6,"Gymnasium",21,20,1,10,7,6,6,4,5,1,1,1,1,1,1,1
7,"Gymnasium",1,0,0,0,3,6,3,5,5,5,5,4,7,5,6,6
7,"Gymnasium",2,1,0,0,3,6,3,5,5,5,6,7,7,6,4,6
7,"Gymnasium",3,2,0,0,3,6,3,5,5,5,6,6,6,4,4,4
7,"Gymnasium",4,3,0,0,3,6,3,5,5,5,6,4,7,4,6,4
7,"Gymnasium",5,4,0,0,3,6,3,5,5,5,6,3,4,5,4,6
7,"Gymnasium",6,5,0,0,3,6,3,5,5,5,4,4,4,7,5,6
7,"Gymnasium",7,6,0,0,3,6,3,5,5,5,7,4,4,3,6,4
7,"Gymnasium",8,7,0,0,3,6,3,5,5,5,4,6,4,5,6,5
7,"Gymnasium",9,8,0,0,3,6,3,5,5,5,5,6,6,5,3,6
7,"Gymnasium",11,10,1,0,3,6,3,5,5,5,3,3,4,2,4,1
7,"Gymnasium",12,11,1,1,3,6,3,5,5,5,4,2,2,4,1,3
7,"Gymnasium",13,12,1,2,3,6,3,5,5,5,4,3,2,3,2,4
7,"Gymnasium",14,13,1,3,3,6,3,5,5,5,2,2,4,2,4,2
7,"Gymnasium",15,14,1,4,3,6,3,5,5,5,2,4,2,4,5,2
7,"Gymnasium",16,15,1,5,3,6,3,5,5,5,1,4,2,3,4,1
7,"Gymnasium",17,16,1,6,3,6,3,5,5,5,4,2,2,5,2,4
7,"Gymnasium",18,17,1,7,3,6,3,5,5,5,2,2,2,1,2,1
7,"Gymnasium",19,18,1,8,3,6,3,5,5,5,2,3,4,3,1,4
7,"Gymnasium",20,19,1,9,3,6,3,5,5,5,2,4,4,2,4,2
7,"Gymnasium",21,20,1,10,3,6,3,5,5,5,3,6,2,1,2,2
8,"Gymnasium",1,0,0,0,5,2,6,6,7,3,3,2,4,4,3,2
8,"Gymnasium",2,1,0,0,5,2,6,6,7,3,1,2,4,5,5,2
8,"Gymnasium",3,2,0,0,5,2,6,6,7,3,3,2,6,3,3,2
8,"Gymnasium",4,3,0,0,5,2,6,6,7,3,4,2,1,6,3,5
8,"Gymnasium",5,4,0,0,5,2,6,6,7,3,5,4,3,2,4,4
8,"Gymnasium",6,5,0,0,5,2,6,6,7,3,3,3,4,5,5,4
8,"Gymnasium",7,6,0,0,5,2,6,6,7,3,2,1,5,3,4,4
8,"Gymnasium",8,7,0,0,5,2,6,6,7,3,5,3,5,3,3,5
8,"Gymnasium",9,8,0,0,5,2,6,6,7,3,2,4,4,2,3,4
8,"Gymnasium",10,9,0,0,5,2,6,6,7,3,3,4,3,4,3,4
8,"Gymnasium",11,10,1,0,5,2,6,6,7,3,4,2,4,2,2,2
8,"Gymnasium",12,11,1,1,5,2,6,6,7,3,4,3,6,2,3,4
9,"Gymnasium",1,0,0,0,3,5,5,4,2,4,6,7,6,6,4,7
9,"Gymnasium",2,1,0,0,3,5,5,4,2,4,7,6,7,6,5,7
9,"Gymnasium",3,2,0,0,3,5,5,4,2,4,7,5,7,5,6,7
9,"Gymnasium",4,3,0,0,3,5,5,4,2,4,5,6,6,5,5,6
9,"Gymnasium",5,4,0,0,3,5,5,4,2,4,7,7,6,6,7,6
9,"Gymnasium",6,5,0,0,3,5,5,4,2,4,5,6,7,6,5,5
9,"Gymnasium",7,6,0,0,3,5,5,4,2,4,6,4,7,6,5,6
9,"Gymnasium",8,7,0,0,3,5,5,4,2,4,6,4,5,5,7,4
9,"Gymnasium",9,8,0,0,3,5,5,4,2,4,5,7,5,6,6,4
9,"Gymnasium",10,9,0,0,3,5,5,4,2,4,5,7,5,4,4,2
9,"Gymnasium",11,10,1,0,3,5,5,4,2,4,5,5,5,1,5,4
9,"Gymnasium",12,11,1,1,3,5,5,4,2,4,5,6,5,5,6,6
9,"Gymnasium",14,13,1,3,3,5,5,4,2,4,4,3,2,5,4,2
9,"Gymnasium",15,14,1,4,3,5,5,4,2,4,2,3,5,1,2,2
9,"Gymnasium",16,15,1,5,3,5,5,4,2,4,3,5,2,6,4,2
9,"Gymnasium",18,17,1,7,3,5,5,4,2,4,3,2,2,2,4,2
9,"Gymnasium",19,18,1,8,3,5,5,4,2,4,1,2,2,4,5,4
9,"Gymnasium",20,19,1,9,3,5,5,4,2,4,1,1,1,1,1,2
9,"Gymnasium",21,20,1,10,3,5,5,4,2,4,2,2,5,1,1,2
10,"Gymnasium",1,0,0,0,6,6,4,2,4,4,7,6,7,4,7,6
10,"Gymnasium",2,1,0,0,6,6,4,2,4,4,6,6,7,6,4,5
10,"Gymnasium",3,2,0,0,6,6,4,2,4,4,6,7,7,7,6,7
10,"Gymnasium",4,3,0,0,6,6,4,2,4,4,7,7,7,6,5,6
10,"Gymnasium",5,4,0,0,6,6,4,2,4,4,7,5,5,4,6,5
10,"Gymnasium",6,5,0,0,6,6,4,2,4,4,7,6,6,5,6,4
10,"Gymnasium",7,6,0,0,6,6,4,2,4,4,4,7,7,6,6,6
10,"Gymnasium",8,7,0,0,6,6,4,2,4,4,6,4,7,4,4,7
10,"Gymnasium",9,8,0,0,6,6,4,2,4,4,5,6,6,6,6,6
10,"Gymnasium",10,9,0,0,6,6,4,2,4,4,7,6,6,7,7,7
10,"Gymnasium",11,10,1,0,6,6,4,2,4,4,6,4,4,7,6,4
10,"Gymnasium",12,11,1,1,6,6,4,2,4,4,7,6,5,7,5,4
10,"Gymnasium",13,12,1,2,6,6,4,2,4,4,6,6,6,3,4,5
10,"Gymnasium",14,13,1,3,6,6,4,2,4,4,7,5,5,5,4,5
10,"Gymnasium",15,14,1,4,6,6,4,2,4,4,4,4,5,6,4,4
10,"Gymnasium",16,15,1,5,6,6,4,2,4,4,7,6,7,5,4,4
10,"Gymnasium",17,16,1,6,6,6,4,2,4,4,4,4,4,7,6,1
10,"Gymnasium",18,17,1,7,6,6,4,2,4,4,4,6,4,6,6,4
10,"Gymnasium",19,18,1,8,6,6,4,2,4,4,6,4,4,5,4,7
10,"Gymnasium",20,19,1,9,6,6,4,2,4,4,7,3,5,5,6,6
11,"Gymnasium",1,0,0,0,4,3,6,5,4,5,6,6,6,6,7,3
11,"Gymnasium",2,1,0,0,4,3,6,5,4,5,4,4,4,6,6,6
11,"Gymnasium",3,2,0,0,4,3,6,5,4,5,6,5,5,6,5,7
11,"Gymnasium",5,4,0,0,4,3,6,5,4,5,7,5,4,4,5,6
11,"Gymnasium",6,5,0,0,4,3,6,5,4,5,6,4,4,2,4,1
11,"Gymnasium",8,7,0,0,4,3,6,5,4,5,6,7,4,2,5,6
11,"Gymnasium",9,8,0,0,4,3,6,5,4,5,4,3,3,4,5,4
11,"Gymnasium",10,9,0,0,4,3,6,5,4,5,6,6,7,4,3,4
11,"Gymnasium",11,10,1,0,4,3,6,5,4,5,6,4,2,2,5,1
11,"Gymnasium",12,11,1,1,4,3,6,5,4,5,3,5,2,3,4,5
11,"Gymnasium",13,12,1,2,4,3,6,5,4,5,5,4,5,7,6,2
11,"Gymnasium",14,13,1,3,4,3,6,5,4,5,2,4,5,3,5,4
11,"Gymnasium",15,14,1,4,4,3,6,5,4,5,5,5,4,2,3,3
11,"Gymnasium",16,15,1,5,4,3,6,5,4,5,5,6,5,4,4,2
11,"Gymnasium",17,16,1,6,4,3,6,5,4,5,4,3,6,5,5,6
11,"Gymnasium",18,17,1,7,4,3,6,5,4,5,5,2,4,6,4,3
11,"Gymnasium",20,19,1,9,4,3,6,5,4,5,4,4,6,7,6,2
11,"Gymnasium",21,20,1,10,4,3,6,5,4,5,2,1,5,5,5,3
12,"Gymnasium",1,0,0,0,5,6,6,3,4,6,5,3,4,4,4,2
12,"Gymnasium",2,1,0,0,5,6,6,3,4,6,2,2,4,3,3,4
12,"Gymnasium",3,2,0,0,5,6,6,3,4,6,5,4,4,3,4,3
12,"Gymnasium",4,3,0,0,5,6,6,3,4,6,5,6,5,4,5,3
12,"Gymnasium",5,4,0,0,5,6,6,3,4,6,5,2,6,3,5,5
12,"Gymnasium",6,5,0,0,5,6,6,3,4,6,5,6,4,2,5,4
12,"Gymnasium",8,7,0,0,5,6,6,3,4,6,5,7,4,6,6,4
12,"Gymnasium",9,8,0,0,5,6,6,3,4,6,5,6,6,5,3,6
12,"Gymnasium",10,9,0,0,5,6,6,3,4,6,7,7,5,6,5,2
12,"Gymnasium",11,10,1,0,5,6,6,3,4,6,4,5,5,4,5,6
12,"Gymnasium",12,11,1,1,5,6,6,3,4,6,7,5,4,3,4,5
12,"Gymnasium",14,13,1,3,5,6,6,3,4,6,7,4,4,6,3,4
12,"Gymnasium",15,14,1,4,5,6,6,3,4,6,7,6,7,7,5,4
12,"Gymnasium",16,15,1,5,5,6,6,3,4,6,7,3,7,6,3,6
12,"Gymnasium",17,16,1,6,5,6,6,3,4,6,6,7,6,6,6,6
12,"Gymnasium",18,17,1,7,5,6,6,3,4,6,6,7,6,6,6,6
12,"Gymnasium",19,18,1,8,5,6,6,3,4,6,7,7,7,6,7,6
12,"Gymnasium",20,19,1,9,5,6,6,3,4,6,7,6,7,5,6,5
13,"Gymnasium",1,0,0,0,3,4,4,4,5,2,6,4,3,3,4,3
13,"Gymnasium",2,1,0,0,3,4,4,4,5,2,1,4,3,5,2,4
13,"Gymnasium",3,2,0,0,3,4,4,4,5,2,1,4,4,3,3,3
13,"Gymnasium",4,3,0,0,3,4,4,4,5,2,3,4,4,5,4,6
13,"Gymnasium",5,4,0,0,3,4,4,4,5,2,4,2,2,3,5,2
13,"Gymnasium",7,6,0,0,3,4,4,4,5,2,5,6,4,5,5,4
13,"Gymnasium",8,7,0,0,3,4,4,4,5,2,2,4,4,3,2,4
13,"Gymnasium",9,8,0,0,3,4,4,4,5,2,4,2,3,3,5,6
13,"Gymnasium",10,9,0,0,3,4,4,4,5,2,2,4,6,5,3,7
13,"Gymnasium",11,10,1,0,3,4,4,4,5,2,2,5,2,2,3,2
13,"Gymnasium",12,11,1,1,3,4,4,4,5,2,3,4,1,6,6,5
13,"Gymnasium",13,12,1,2,3,4,4,4,5,2,2,2,2,5,2,4
13,"Gymnasium",14,13,1,3,3,4,4,4,5,2,2,5,4,3,3,4
13,"Gymnasium",15,14,1,4,3,4,4,4,5,2,5,4,3,2,4,3
13,"Gymnasium",16,15,1,5,3,4,4,4,5,2,4,4,6,4,3,3
13,"Gymnasium",17,16,1,6,3,4,4,4,5,2,4,4,3,4,5,6
13,"Gymnasium",18,17,1,7,3,4,4,4,5,2,3,3,4,3,3,4
13,"Gymnasium",19,18,1,8,3,4,4,4,5,2,4,3,4,4,2,3
13,"Gymnasium",20,19,1,9,3,4,4,4,5,2,3,1,2,5,2,5
13,"Gymnasium",21,20,1,10,3,4,4,4,5,2,3,7,3,3,3,2
14,"Gymnasium",1,0,0,0,5,4,5,4,4,4,1,6,4,3,3,5
14,"Gymnasium",2,1,0,0,5,4,5,4,4,4,5,4,5,6,6,5
14,"Gymnasium",3,2,0,0,5,4,5,4,4,4,4,2,3,6,4,2
14,"Gymnasium",4,3,0,0,5,4,5,4,4,4,3,3,5,3,5,7
14,"Gymnasium",5,4,0,0,5,4,5,4,4,4,6,4,4,4,2,4
14,"Gymnasium",6,5,0,0,5,4,5,4,4,4,4,3,7,4,4,5
14,"Gymnasium",7,6,0,0,5,4,5,4,4,4,4,3,3,4,7,5
14,"Gymnasium",8,7,0,0,5,4,5,4,4,4,5,4,4,4,5,4
14,"Gymnasium",9,8,0,0,5,4,5,4,4,4,4,5,4,4,6,6
14,"Gymnasium",10,9,0,0,5,4,5,4,4,4,2,4,4,4,6,5
14,"Gymnasium",11,10,1,0,5,4,5,4,4,4,3,3,4,4,4,7
14,"Gymnasium",12,11,1,1,5,4,5,4,4,4,7,4,3,2,4,5
14,"Gymnasium",13,12,1,2,5,4,5,4,4,4,7,4,5,5,3,4
14,"Gymnasium",14,13,1,3,5,4,5,4,4,4,4,2,6,5,4,7
14,"Gymnasium",15,14,1,4,5,4,5,4,4,4,7,5,4,4,5,3
14,"Gymnasium",16,15,1,5,5,4,5,4,4,4,4,4,5,5,4,6
14,"Gymnasium",17,16,1,6,5,4,5,4,4,4,5,4,6,5,6,6
14,"Gymnasium",18,17,1,7,5,4,5,4,4,4,7,4,6,6,6,4
14,"Gymnasium",19,18,1,8,5,4,5,4,4,4,7,7,7,4,5,5
14,"Gymnasium",20,19,1,9,5,4,5,4,4,4,6,7,6,5,6,7
15,"Gymnasium",1,0,0,0,7,6,7,7,6,5,2,1,1,3,3,1
15,"Gymnasium",2,1,0,0,7,6,7,7,6,5,2,1,2,1,2,3
15,"Gymnasium",3,2,0,0,7,6,7,7,6,5,2,1,3,2,4,3
15,"Gymnasium",4,3,0,0,7,6,7,7,6,5,3,1,1,2,2,2
15,"Gymnasium",5,4,0,0,7,6,7,7,6,5,3,2,1,1,2,1
15,"Gymnasium",6,5,0,0,7,6,7,7,6,5,1,1,1,2,3,3
15,"Gymnasium",7,6,0,0,7,6,7,7,6,5,1,2,1,1,2,2
15,"Gymnasium",8,7,0,0,7,6,7,7,6,5,1,1,1,3,1,2
15,"Gymnasium",9,8,0,0,7,6,7,7,6,5,1,1,3,2,2,3
15,"Gymnasium",12,11,1,1,7,6,7,7,6,5,2,1,1,2,1,1
15,"Gymnasium",13,12,1,2,7,6,7,7,6,5,1,1,2,1,1,4
15,"Gymnasium",14,13,1,3,7,6,7,7,6,5,3,1,2,1,1,1
15,"Gymnasium",15,14,1,4,7,6,7,7,6,5,1,1,1,1,1,1
15,"Gymnasium",16,15,1,5,7,6,7,7,6,5,1,1,2,2,1,1
16,"Gymnasium",1,0,0,0,6,2,2,4,3,2,7,7,7,7,7,7
16,"Gymnasium",2,1,0,0,6,2,2,4,3,2,7,7,7,7,7,7
16,"Gymnasium",3,2,0,0,6,2,2,4,3,2,7,7,7,7,7,7
16,"Gymnasium",5,4,0,0,6,2,2,4,3,2,7,7,7,7,7,7
16,"Gymnasium",6,5,0,0,6,2,2,4,3,2,7,7,7,7,7,4
16,"Gymnasium",8,7,0,0,6,2,2,4,3,2,7,7,7,7,6,7
16,"Gymnasium",9,8,0,0,6,2,2,4,3,2,7,7,7,7,7,7
16,"Gymnasium",10,9,0,0,6,2,2,4,3,2,6,7,4,5,4,4
16,"Gymnasium",11,10,1,0,6,2,2,4,3,2,5,4,7,6,4,4
16,"Gymnasium",12,11,1,1,6,2,2,4,3,2,6,2,7,4,5,6
16,"Gymnasium",13,12,1,2,6,2,2,4,3,2,4,2,4,6,3,1
16,"Gymnasium",14,13,1,3,6,2,2,4,3,2,5,3,7,2,4,2
16,"Gymnasium",15,14,1,4,6,2,2,4,3,2,2,5,4,4,3,3
16,"Gymnasium",16,15,1,5,6,2,2,4,3,2,2,2,2,4,2,2
16,"Gymnasium",17,16,1,6,6,2,2,4,3,2,3,3,2,4,3,1
16,"Gymnasium",18,17,1,7,6,2,2,4,3,2,2,1,2,1,3,2
16,"Gymnasium",20,19,1,9,6,2,2,4,3,2,1,1,1,2,1,2
17,"Gymnasium",1,0,0,0,4,5,5,4,6,1,7,4,6,4,4,7
17,"Gymnasium",2,1,0,0,4,5,5,4,6,1,7,4,6,4,7,7
17,"Gymnasium",3,2,0,0,4,5,5,4,6,1,5,6,4,6,5,4
17,"Gymnasium",4,3,0,0,4,5,5,4,6,1,7,4,4,5,6,7
17,"Gymnasium",6,5,0,0,4,5,5,4,6,1,7,6,4,4,3,7
17,"Gymnasium",7,6,0,0,4,5,5,4,6,1,4,4,2,3,3,2
17,"Gymnasium",8,7,0,0,4,5,5,4,6,1,7,3,6,4,6,2
17,"Gymnasium",9,8,0,0,4,5,5,4,6,1,3,5,5,4,5,2
17,"Gymnasium",10,9,0,0,4,5,5,4,6,1,3,3,4,4,6,6
17,"Gymnasium",11,10,1,0,4,5,5,4,6,1,4,4,2,2,2,4
17,"Gymnasium",12,11,1,1,4,5,5,4,6,1,2,1,2,4,5,1
17,"Gymnasium",13,12,1,2,4,5,5,4,6,1,4,5,2,2,2,4
17,"Gymnasium",14,13,1,3,4,5,5,4,6,1,1,3,4,2,2,2
17,"Gymnasium",15,14,1,4,4,5,5,4,6,1,3,2,2,2,4,2
17,"Gymnasium",16,15,1,5,4,5,5,4,6,1,1,2,1,2,4,2
17,"Gymnasium",17,16,1,6,4,5,5,4,6,1,1,2,2,4,3,1
17,"Gymnasium",18,17,1,7,4,5,5,4,6,1,1,1,2,3,2,6
17,"Gymnasium",19,18,1,8,4,5,5,4,6,1,1,1,1,2,2,1
17,"Gymnasium",20,19,1,9,4,5,5,4,6,1,1,1,1,2,2,1
17,"Gymnasium",21,20,1,10,4,5,5,4,6,1,2,1,2,1,3,1
18,"Gymnasium",1,0,0,0,5,6,6,4,3,4,5,6,5,4,5,4
18,"Gymnasium",2,1,0,0,5,6,6,4,3,4,6,5,7,6,4,4
18,"Gymnasium",3,2,0,0,5,6,6,4,3,4,3,5,5,5,6,5
18,"Gymnasium",4,3,0,0,5,6,6,4,3,4,6,4,3,3,5,6
18,"Gymnasium",5,4,0,0,5,6,6,4,3,4,5,5,5,4,5,4
18,"Gymnasium",6,5,0,0,5,6,6,4,3,4,5,4,6,4,7,4
18,"Gymnasium",7,6,0,0,5,6,6,4,3,4,4,4,5,6,5,2
18,"Gymnasium",8,7,0,0,5,6,6,4,3,4,3,5,5,4,6,4
18,"Gymnasium",9,8,0,0,5,6,6,4,3,4,4,6,3,6,6,4
18,"Gymnasium",10,9,0,0,5,6,6,4,3,4,4,4,3,4,6,4
18,"Gymnasium",11,10,1,0,5,6,6,4,3,4,4,4,3,6,3,2
18,"Gymnasium",12,11,1,1,5,6,6,4,3,4,2,6,3,3,4,3
18,"Gymnasium",13,12,1,2,5,6,6,4,3,4,2,4,2,5,4,7
18,"Gymnasium",14,13,1,3,5,6,6,4,3,4,5,4,2,3,6,7
18,"Gymnasium",15,14,1,4,5,6,6,4,3,4,2,3,2,5,3,3
18,"Gymnasium",16,15,1,5,5,6,6,4,3,4,5,4,3,4,6,6
18,"Gymnasium",17,16,1,6,5,6,6,4,3,4,4,2,1,3,4,4
18,"Gymnasium",18,17,1,7,5,6,6,4,3,4,4,5,4,2,2,3
18,"Gymnasium",19,18,1,8,5,6,6,4,3,4,3,5,5,3,2,5
18,"Gymnasium",20,19,1,9,5,6,6,4,3,4,4,4,3,3,3,1
18,"Gymnasium",21,20,1,10,5,6,6,4,3,4,4,2,5,3,2,2
19,"Gymnasium",1,0,0,0,4,4,6,5,7,5,3,6,4,5,4,1
19,"Gymnasium",2,1,0,0,4,4,6,5,7,5,4,6,6,2,4,4
19,"Gymnasium",3,2,0,0,4,4,6,5,7,5,4,6,7,3,3,2
